Nama Barang;Satuan;Harga
Ballpoint Frixion 0,5 (Merah) - Pilot;Pcs;21000
Ballpoint Frixion 0,5 (Ungu) - Pilot;Pcs;21000
Ballpoint Frixion 0,7 (Biru) - Pilot;Pcs;21000
Ballpoint Frixion 0,7 (Hitam) - Pilot;Pcs;21000
Ballpoint Frixion 0,7 (Merah) - Pilot;Pcs;21000
Ballpoint G-2 07 Biru - Pilot;Pcs;14000
Ballpoint G-2 07 Hitam - Pilot;Pcs;14000
Ballpoint Gel (Erasable) GP-333 Hitam Merk Joyko;Pcs;3000
Ballpoint Gel JK 100 0,5 (Biru) - Joyko;Pcs;2000
Ballpoint Gel JK 100 0,5 (Hitam) - Joyko;Pcs;2000
Ballpoint Gel JK 100 0,5 (Merah) - Joyko;Pcs;2000
Ballpoint Gel K-1 (Biru) Kenko;Pcs;2300
Ballpoint Gel K-1 (Hitam) Kenko;Pcs;2300
Ballpoint Gel K-1 / CS6 Merk Kenko;Set;21000
Ballpoint Gel KE 100 (Biru) - Kenko;Pcs;2500
Ballpoint Gel KE 100 (Hitam) - Kenko;Pcs;2500
Ballpoint Gell GP 265 Biru Merk Joyko;Pcs;2300
Ballpoint Gell GP 265 Hitam Merk Joyko;Pcs;2300
Ballpoint Gell GP 265 Merah Merk Joyko;Pcs;2300
Ballpoint Gell GP 330 Biru Merk Joyko;Pcs;1125
Ballpoint Gell GP 330 Hitam Merk Joyko;Pcs;1125
Ballpoint Greebel Technoline 0,5 Biru 12 + 1;Pcs;1250
Ballpoint Greebel Technoline 0,5 Hitam 12 + 1;Pcs;1250
Ballpoint Kokoro Gel (Biru) - Zebra;Pcs;5500
Ballpoint Kokoro Gel (Hitam) - Zebra;Pcs;5500
Ballpoint Kokoro Gel (Merah) - Zebra;Pcs;5500
Ballpoint NK 7B (Biru) - Kenko;Pcs;1250
Ballpoint NK 7B (Hitam) - Kenko;Pcs;1250
Ballpoint NK 7B (Merah) - Kenko;Pcs;1250
Ballpoint Piccolo (Biru) Merk Zebra;Pcs;1500
Ballpoint Piccolo (Hitam) Merk Zebra;Pcs;1500
Ballpoint Piccolo (Merah) Merk Zebra;Pcs;1500
Ballpoint PSBP 150 Hitam Tempel - Joyko;Pcs;5500
Ballpoint PSBP 177 Hitam Tempel - Joyko;Pcs;5500
Ballpoint SG-1 (Biru) - Artline;Pcs;1800
Ballpoint SG-1 (Hitam) - Artline;Pcs;1800
Ballpoint V 5 (Biru) Merk Snowman;Pcs;2625
Ballpoint V 5 (Merah) Merk Snowman;Pcs;2625
Ballpoint V1 Biru - Snowman;Pcs;1750
Ballpoint V1 Hitam - Snowman;Pcs;1750
Ballpoint V1 Merah - Snowman;Pcs;1750
Ballpoint V2 Biru - Snowman;Pcs;1875
Ballpoint V2 Hitam - Snowman;Pcs;1875
Ballpoint V2 Merah - Snowman;Pcs;1875
Ballpoint V-5 (Hitam) Merk Snowman;Pcs;2625
Ballpoint Zebra Sarasa 0,5 (Biru Muda);Pcs;14500
Ballpoint Zebra Sarasa 0,5 (Biru);Pcs;14500
Ballpoint Zebra Sarasa 0,5 (Coklat);Pcs;14500
Ballpoint Zebra Sarasa 0,5 (Hijau);Pcs;14500
Ballpoint Zebra Sarasa 0,5 (Hitam);Pcs;14500
Ballpoint Zebra Sarasa 0,5 (Merah);Pcs;14500
Ballpoint Zebra Sarasa 0,5 (Pink);Pcs;14500
Ballpoint Zebra Sarasa 0,5 (Ungu);Pcs;14500
Ballpoint Zebra Sarasa 0,7 (Biru Tua);Pcs;14500
Ballpoint Zebra Sarasa 0,7 (Biru);Pcs;14500
Ballpoint Zebra Sarasa 0,7 (Coklat);Pcs;14500
Ballpoint Zebra Sarasa 0,7 (Hijau);Pcs;14500
Ballpoint Zebra Sarasa 0,7 (Hitam);Pcs;14500
Ballpoint Zebra Sarasa 0,7 (Merah);Pcs;14500
Ballpoint Zebra Sarasa 0,7 (Ungu);Pcs;14500
Ballpoint Zebra Sarasa 1,0 (Biru);Pcs;14500
Ballpoint Zebra Sarasa 1,0 (Hitam);Pcs;14500
Ballpoint Zebra Sarasa 1,0 (Merah);Pcs;14500
Bambi 1010 - 01 (Biru);Pcs;27500
Bambi 1010 - 09 (Merah);Pcs;27000
Bambi 1010 - 10 (Hitam);Pcs;27500
Bambi 2510 F4;Pak;32000
Bambi 2610 A4;Pak;30000
Bantex 2044 F4 Plastik Pocket;Pak;155000
Bantex 3145 (Clear Holder A4 40 Lbr);Pcs;55000
Bantex 3147 (Clear Holder A4 60 Lbr);Pcs;65000
Bantex 3185 (Clear Holder F4 40 Lbr);Pcs;65000
Bantex 3187 (Clear Holder F4 60 Lbr);Pcs;75500
Bantex 3260 Duraclip A4;Pcs;12500
Bantex 4010-01 Magazine File A4 7 Cm Blue;Pcs;33000
Bantex 4010-10 Magazine File A4 7 Cm Black;Pcs;33000
Bantex 6010 (Penyekat Polos Warna) Plastik;Set;20000
Bantex 6043-00  (A-Z);Set;24000
Bantex 6050 (Penyekat Polos Warna);Set;11500
Bantex 6051 (Penyekat File 1 - 12);Set;15000
Bantex 6052 (No. 1 - 31);Set;35000
Bantex 6059 (Januari - Desember);Set;15000
Battery 23A - Energizer;Pcs;18000
Battery 9 Volt - ABC (9V-CZ-1S);Pcs;12000
Battery 9 Volt - Alkaline (9V-ALK-1B);Pcs;33000
Battery 9 Volt - Energizer;Pcs;33000
Battery A76 - Energizer @2;Set;8000
Battery AA - Alkaline (LR6-ALK-2B);Pcs;6750
